Ciclo,EDAD,SEXO,Comida_día,Desayuno_Semana,Almuerzo_Semana,Cena_Semana,Lugar_Desayuno,Lugar_Almuerzo,Lugar_Cena,TV_Desayuno,TV_Almuerzo,TV_Cena,Sal_Agreg,Cons_Cigarros,Cons_Alcochol,Cons_Agua,Modo_Cons,Cant_Botellas,Cant_Vasos,Frec_Hamburguesa,Frec_Broaster,Frec_Salchipapa,Frec_Snack,Frec_Galletas,Frec_Gaseosa,Frec_JugosCaja,Frec_Lacteos,Frec_Huevo,Frec_Carnes,Cons_CarnesyDeriv,Frec_CarnesyDeriv,Cons_Legumbres,Frec_Legumbres,Con_Cereales,Frec_Cereales,Cons_Harinas,Frec_Harinas,Cons_Tuberculo,Frec_Tuberculos,Cons_Azucar,Frec_Azucar,Con_Frutas,Frec_Frutas,Cons_Verduras,Frec_Verduras,Cons_Grasa,Frec_Grasa,SUM_HAB,Clasif_Hab,Mesientocalmado,Mesientoseguro,Estoytenso,Estoycontrariadocohibidodescontento,Mesientocómodoestoyagusto,Mesientoalterado,Estoypreocupadoahoraporposiblesdesgraciasfuturas,Mesientodescansado,Mesientoangustiado,Mesientoconfortable,Tengoconfianzaenmimismo,Mesientonervioso,Estoydesasosegadointranquiloinquieto,Mesientomuy“atado”comooprimido,Estoyrelajado,Mesientosatisfecho,Estoypreocupado,Mesientoaturdidoysobreexcitado,Mesientoalegre,Enestemomentomesientobien,Mesientobien,Mecansorápidamente,Sientoganasdellorar,Megustaríasertanfelizcomootros,Pierdooportunidadespornodecidirirmepronto,Mesientodescansado_A,Soyunapersonatranquilaserenasosegada,Veoquelasdificultadesseamontonanynopuedoconellas,Mepreocupodemasiadoporcosassinimportancia,Soyfeliz,Suelotomarlascosasdemasiadoseriamente,Mefaltaconfianzaenmímismo,Mesientoseguro_A,Nosueloafrontarlascrisisodificultades,Mesientotristemelancólico,Estoysatisfecho,Merondanymolestanpensamientossinimportancia,Meafectantantolosdesengañosquenopuedoolvidarlos,Soyunapersonaestable,Cuandopiensosobreasuntosyeocupacionesactualesmepongotensoyagitad,Clasif_Ansiedad
7,1,1,2,1,4,4,4,4,1,1,2,2,0,1,1,1,0,0,0,3,3,3,3,3,3,3,2,3,3,1,1,1,2,1,4,1,2,1,4,1,2,0,0,1,2,1,2,75,2,1,2,1,1,2,0,2,1,1,1,2,1,1,1,1,2,1,2,3,3,3,2,0,2,1,2,2,1,0,2,2,1,2,3,1,2,1,2,2,1,1
8,2,0,2,4,4,3,1,4,1,2,1,2,1,0,0,1,1,3,1,3,3,4,3,3,2,3,2,3,3,1,2,1,3,1,4,1,1,1,3,1,1,1,2,1,3,1,1,75,2,2,2,1,1,2,1,1,2,1,2,1,1,1,1,1,2,1,1,3,3,2,2,1,1,1,2,2,2,1,2,3,1,2,1,1,2,1,1,2,1,1
7,1,1,2,3,4,3,2,4,2,2,1,2,0,0,0,1,0,0,1,3,3,3,3,3,2,3,3,2,4,1,2,1,2,1,4,1,1,1,3,1,2,1,2,1,2,1,3,76,2,1,2,1,0,3,0,0,0,1,1,2,1,1,1,0,1,1,0,1,1,2,1,1,2,1,1,3,1,0,3,2,1,2,1,1,2,0,0,1,1,0
10,2,0,3,4,4,4,4,1,4,1,1,1,0,1,0,1,0,0,1,2,3,3,3,3,3,3,4,4,4,1,3,1,2,1,2,1,3,1,3,1,1,1,2,0,0,1,3,80,3,2,2,1,1,2,1,1,1,1,2,1,1,1,1,0,1,3,1,1,1,2,1,1,0,0,1,1,0,1,2,2,2,2,1,1,2,0,0,2,1,0
10,2,1,2,4,4,4,4,4,4,1,1,1,1,0,0,1,1,1,1,3,1,4,4,4,2,4,2,3,3,1,3,1,2,1,4,1,1,1,3,1,1,1,3,1,3,1,1,82,3,1,2,0,1,1,0,1,1,0,2,3,0,0,0,2,1,1,0,1,3,2,1,1,1,1,1,2,0,1,3,1,0,2,1,1,2,1,0,2,1,0
10,1,0,1,3,2,2,4,4,4,3,3,3,0,1,0,1,0,0,1,3,3,3,3,3,3,3,2,3,3,1,3,1,2,1,3,1,3,1,2,0,4,1,3,1,2,1,1,83,3,2,2,1,2,2,0,1,1,1,2,2,1,1,0,2,2,1,0,3,3,2,3,1,2,0,1,1,0,1,2,2,1,1,0,1,1,0,0,2,2,1
10,2,0,3,3,3,3,4,1,4,1,4,1,1,1,1,1,0,0,1,4,4,4,3,3,4,3,2,2,2,1,2,1,2,1,3,1,2,1,3,1,1,1,3,1,3,1,2,83,3,2,3,1,0,3,1,0,2,0,2,2,1,0,0,2,3,1,0,3,2,3,1,1,1,0,2,3,0,1,3,1,1,2,0,1,2,0,0,3,2,1
8,1,1,2,4,4,2,4,4,4,1,1,1,0,0,0,1,0,3,1,4,4,4,4,3,3,4,4,3,3,1,2,1,2,1,3,1,1,1,3,1,1,1,3,1,3,1,1,83,3,2,3,1,0,2,0,1,2,1,2,3,1,0,0,2,2,1,0,3,3,3,1,1,1,1,2,2,1,1,3,3,0,3,0,1,2,0,0,3,0,1
3,1,1,2,3,4,3,4,4,4,1,1,1,1,0,1,1,0,0,1,4,4,4,3,3,3,4,2,2,3,1,3,1,2,1,4,1,3,1,2,1,1,1,3,1,2,1,3,85,3,2,2,1,1,2,1,1,1,1,1,2,1,0,2,2,1,3,1,3,3,2,1,0,1,1,2,3,1,1,2,3,1,2,2,1,2,0,0,1,3,1
8,1,1,2,4,4,4,4,4,4,2,2,2,1,1,0,1,0,0,1,3,3,3,3,3,3,4,2,3,3,1,3,1,2,1,4,1,3,1,2,1,1,1,2,1,2,1,1,85,3,3,3,0,0,3,0,0,3,0,3,3,0,0,0,3,3,0,0,2,2,3,0,0,0,0,3,2,0,0,3,2,0,3,0,0,3,0,0,1,0,0
